id,label,statement,subjects,speaker,job_title,state,party,barely_true_count,false_count,half_true_count,mostly_true_count,pants_fire_count,context,binary_label,prediction,confidence,statement_length,length_bucket,primary_subject
11972.json,true,Building a wall on the U.S.-Mexico border will take literally years.,immigration,rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,Radio interview,TRUE,FALSE,0.5572194351233322,11,11-20,immigration
13270.json,barely-true,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,foreign-policy,mike-pence,Governor,Indiana,republican,8.0,10.0,12.0,5.0,0.0,"comments on ""Meet the Press""",FALSE,TRUE,0.5072315306003403,25,21-40,foreign-policy
6649.json,barely-true,We know there are more Democrats in Georgia than Republicans. We know that for a fact.,elections,mike-berlon,unknown,Georgia,democrat,1.0,0.0,0.0,0.0,0.0,an article,FALSE,TRUE,0.5776460332754306,16,11-20,elections
11200.json,false,"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.","federal-budget,military,poverty",facebook-posts,Social media posting,unknown,none,14.0,18.0,15.0,11.0,36.0,a meme on social media,FALSE,TRUE,0.520615440669034,22,21-40,federal-budget
9198.json,half-true,A recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nations security is big government.,"government-efficiency,government-regulation,polls",marsha-blackburn,U.S. Representative,Tennessee,republican,2.0,2.0,1.0,0.0,0.0,a speech to the Freedom Summit in New Hampshire,TRUE,FALSE,0.5190995093750823,26,21-40,government-efficiency
12169.json,mostly-true,There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.,"crime,gays-and-lesbians,sexuality",chris-sgro,"Executive Director, Equality NC",North Carolina,activist,0.0,1.0,0.0,1.0,0.0,a speech urging Charlotte's anti-discrimination ordinance be left intact,TRUE,FALSE,0.6693601220595407,24,21-40,crime
1084.json,true,"Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.","sotomayor-nomination,supreme-court",lindsey-graham,U.S. senator,South Carolina,republican,2.0,2.0,4.0,2.0,0.0,a Senate hearing,TRUE,FALSE,0.5119646897658553,14,11-20,sotomayor-nomination
13231.json,barely-true,I was gone when there was a red line against Syria.,foreign-policy,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,the second presidential debate,FALSE,TRUE,0.7635085112127388,11,11-20,foreign-policy
13089.json,half-true,"Tim Kaine hiked tuition as governor, but now claims to champion affordability.","education,state-budget",republican-national-committee-republican,unknown,unknown,republican,6.0,6.0,11.0,5.0,2.0,a blog post.,TRUE,FALSE,0.6306513378916073,12,11-20,education
1051.json,true,"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.","climate-change,energy",mike-pence,Governor,Indiana,republican,8.0,10.0,12.0,5.0,0.0,MSNBC interview.,TRUE,FALSE,0.5140457710820645,22,21-40,climate-change
9800.json,false,"Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.","crime,criminal-justice",sarah-palin,unknown,Alaska,republican,9.0,19.0,9.0,6.0,6.0,a commentary,FALSE,TRUE,0.6989496254105575,16,11-20,crime
2646.json,half-true,Tom Ganley has two Fs from the Better Business Bureau and over 160 complaints in just three years.,"message-machine,campaign-advertising",democratic-congressional-campaign-committee,unknown,unknown,democrat,11.0,8.0,5.0,1.0,9.0,an election ad,TRUE,FALSE,0.8881404850359164,18,11-20,message-machine
8567.json,half-true,"Says Thomas Jefferson said, You might be able to fool the people for awhile, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course.","health-care,history",herman-cain,unknown,Georgia,republican,4.0,11.0,5.0,3.0,3.0,a video on Cain TV,TRUE,FALSE,0.6644731409718718,37,21-40,health-care
10340.json,true,Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago.,"states,taxes",kevin-brady,U.S. House member,Texas,republican,1.0,0.0,0.0,1.0,0.0,a press release,TRUE,FALSE,0.575440055507588,25,21-40,states
7545.json,barely-true,Says bag litter increased after San Francisco banned single-use shopping bags.,environment,drew-springer,unknown,unknown,republican,1.0,0.0,0.0,0.0,0.0,a press release,FALSE,TRUE,0.646177052337916,11,11-20,environment
4929.json,mostly-true,"In 1993, Newt Gingrich first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating for it.",health-care,michele-bachmann,Congresswoman,Minnesota,republican,8.0,22.0,6.0,4.0,16.0,"a Republican presidential debate in Des Moines, Iowa",TRUE,FALSE,0.8524100590910679,27,21-40,health-care
6239.json,barely-true,"Says as a result of the national health care reform, the Congressional Budget Office says we save $250 million over the first 10 years. Over the next 10 years, we save $1.2 trillion in savings in terms of health care.",health-care,robert-menendez,U.S. Senator,New Jersey,democrat,1.0,3.0,1.0,3.0,0.0,an interview on Richard French Live,FALSE,TRUE,0.5284867336299478,40,21-40,health-care
6313.json,false,"A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.",transportation,steve-brown,Fayette County Commissioner,Georgia,republican,0.0,1.0,1.0,0.0,0.0,a forum hosted by The Atlanta Journal-Constitution,FALSE,TRUE,0.7502761341979193,24,21-40,transportation
